Title,Release year,Genre,Duration,Rating,Viewership Certificate,User votes,Plot synopsis,Director,Poster Link
Best F(r)iends: Volume 1,2017,"['Comedy', 'Drama', 'Mystery']",1h 48m,5.2,R,2.8K,"When a drifter befriends a quirky mortician, an unlikely business partnership is formed. Paranoia soon develops, however, and both men are forced to come to terms with the fragility of friendship and loyalty.",Justin MacGregor,https://m.media-amazon.com/images/M/MV5BZjQ4NTdiMGUtMGNhYS00ZWMyLTg0MDQtNjFhOGUzY2VmMDY5XkEyXkFqcGdeQXVyNzM0MTY5NTE@._V1_.jpg
The Band's Visit,2007,"['Comedy', 'Drama', 'Music']",1h 27m,7.5,PG-13,14K,"A band comprised of members of the Egyptian police force head to Israel to play at the inaugural ceremony of an Arab arts center, only to find themselves lost in the wrong town.",Eran Kolirin,https://m.media-amazon.com/images/M/MV5BNjFmMTMwZDAtNjg3NC00YzY1LWE5NDQtNjgzNjdkZTkzMWRkXkEyXkFqcGdeQXVyNjY0Nzc3MTA@._V1_.jpg
Aftermath,,,,,,,,,
The Raven,1935,"['Crime', 'Horror']",1h 1m,6.8,Approved,6.7K,A brilliant surgeon with a morbid obsession for instruments of torture grows dangerously obsessed with a young socialite whose life he's saved.,Lew Landers,https://m.media-amazon.com/images/M/MV5BNWZhZWQxZDItMmRlNy00OTQwLThkYTYtZTM5ZmE0YzUxMWMyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
The Afflicted,2011,"['Horror', 'Thriller']",1h 25m,4.5,Not Rated,1.5K,"A story of incomprehensible abuse delivered by an explosively violent mother of four. Journey through the mind of a child that experiences a living hell, defined and defended by the twisted religious beliefs of her mother.",Jason Stoddard,https://m.media-amazon.com/images/M/MV5BYzBkMGU0YmEtYmEyMC00MzcwLThmMjEtM2RkZTE5NjIzYWUyXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg
RoboWoman,2019,"['Action', 'Sci-Fi', 'Thriller']",,,,,,,
Sleeping Beauty,1987,"['Family', 'Fantasy', 'Musical']",1h 30m,5.7,G,570,"Feature-length, live-action musical version of the classic fairy tale by Charles Perrault.",David Irving,https://m.media-amazon.com/images/M/MV5BMTQwMTA0OTA3OF5BMl5BanBnXkFtZTYwNTAyMjM5._V1_.jpg
Who Done It?,1942,"['Comedy', 'Mystery']",1h 17m,7.3,Approved,2.7K,"Two dumb soda jerks dream of writing radio mysteries. When they try to pitch an idea at a radio station, they end up in the middle of a real murder after the station owner is killed during a broadcast.",Erle C. Kenton,https://m.media-amazon.com/images/M/MV5BZjRiYTI2YmQtOTQ3ZC00OTI0LTg2OGItNGViYTI0OTlkN2FlXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_.jpg
Brother Nature,2016,['Comedy'],1h 37m,4.8,R,1.6K,"Strait-laced go-getter Roger hopes to propose to his dream girl during a weekend getaway at her family's lake house, but his eager-to-be-best-buds potential brother-in-law might accidentally wreck his plans.",Oz Rodriguez,https://m.media-amazon.com/images/M/MV5BMTY1NDk0NDU5M15BMl5BanBnXkFtZTgwOTk5NDI2OTE@._V1_.jpg
A Couple,2022,['Drama'],,,,,,,
